areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,Yorkshire and The Humber,E12000003,2020-08-31,0,36357
region,Yorkshire and The Humber,E12000003,2020-08-30,86,36357
region,Yorkshire and The Humber,E12000003,2020-08-29,141,36271
region,Yorkshire and The Humber,E12000003,2020-08-28,146,36130
region,Yorkshire and The Humber,E12000003,2020-08-27,188,35984
region,Yorkshire and The Humber,E12000003,2020-08-26,114,35796
region,Yorkshire and The Humber,E12000003,2020-08-25,134,35682
region,Yorkshire and The Humber,E12000003,2020-08-24,131,35548
region,Yorkshire and The Humber,E12000003,2020-08-23,87,35417
region,Yorkshire and The Humber,E12000003,2020-08-22,89,35330
region,Yorkshire and The Humber,E12000003,2020-08-21,128,35241
region,Yorkshire and The Humber,E12000003,2020-08-20,165,35113
region,Yorkshire and The Humber,E12000003,2020-08-19,139,34948
region,Yorkshire and The Humber,E12000003,2020-08-18,122,34809
region,Yorkshire and The Humber,E12000003,2020-08-17,127,34687
region,Yorkshire and The Humber,E12000003,2020-08-16,79,34560
region,Yorkshire and The Humber,E12000003,2020-08-15,109,34481
region,Yorkshire and The Humber,E12000003,2020-08-14,161,34372
region,Yorkshire and The Humber,E12000003,2020-08-13,177,34211
region,Yorkshire and The Humber,E12000003,2020-08-12,171,34034
region,Yorkshire and The Humber,E12000003,2020-08-11,185,33863
region,Yorkshire and The Humber,E12000003,2020-08-10,221,33678
region,Yorkshire and The Humber,E12000003,2020-08-09,97,33457
region,Yorkshire and The Humber,E12000003,2020-08-08,105,33360
region,Yorkshire and The Humber,E12000003,2020-08-07,120,33255
region,Yorkshire and The Humber,E12000003,2020-08-06,175,33135
region,Yorkshire and The Humber,E12000003,2020-08-05,154,32960
region,Yorkshire and The Humber,E12000003,2020-08-04,146,32806
region,Yorkshire and The Humber,E12000003,2020-08-03,144,32660
region,Yorkshire and The Humber,E12000003,2020-08-02,85,32516
region,Yorkshire and The Humber,E12000003,2020-08-01,81,32431
region,Yorkshire and The Humber,E12000003,2020-07-31,98,32350
region,Yorkshire and The Humber,E12000003,2020-07-30,141,32252
region,Yorkshire and The Humber,E12000003,2020-07-29,163,32111
region,Yorkshire and The Humber,E12000003,2020-07-28,149,31948
region,Yorkshire and The Humber,E12000003,2020-07-27,143,31799
region,Yorkshire and The Humber,E12000003,2020-07-26,91,31656
region,Yorkshire and The Humber,E12000003,2020-07-25,88,31565
region,Yorkshire and The Humber,E12000003,2020-07-24,108,31477
region,Yorkshire and The Humber,E12000003,2020-07-23,106,31369
region,Yorkshire and The Humber,E12000003,2020-07-22,103,31263
region,Yorkshire and The Humber,E12000003,2020-07-21,98,31160
region,Yorkshire and The Humber,E12000003,2020-07-20,115,31062
region,Yorkshire and The Humber,E12000003,2020-07-19,101,30947
region,Yorkshire and The Humber,E12000003,2020-07-18,98,30846
region,Yorkshire and The Humber,E12000003,2020-07-17,100,30748
region,Yorkshire and The Humber,E12000003,2020-07-16,86,30648
region,Yorkshire and The Humber,E12000003,2020-07-15,119,30562
region,Yorkshire and The Humber,E12000003,2020-07-14,133,30443
region,Yorkshire and The Humber,E12000003,2020-07-13,135,30310
region,Yorkshire and The Humber,E12000003,2020-07-12,98,30175
region,Yorkshire and The Humber,E12000003,2020-07-11,87,30077
region,Yorkshire and The Humber,E12000003,2020-07-10,92,29990
region,Yorkshire and The Humber,E12000003,2020-07-09,98,29898
region,Yorkshire and The Humber,E12000003,2020-07-08,126,29800
region,Yorkshire and The Humber,E12000003,2020-07-07,103,29674
region,Yorkshire and The Humber,E12000003,2020-07-06,120,29571
region,Yorkshire and The Humber,E12000003,2020-07-05,90,29451
region,Yorkshire and The Humber,E12000003,2020-07-04,78,29361
region,Yorkshire and The Humber,E12000003,2020-07-03,108,29283
region,Yorkshire and The Humber,E12000003,2020-07-02,104,29175
region,Yorkshire and The Humber,E12000003,2020-07-01,132,29071
region,Yorkshire and The Humber,E12000003,2020-06-30,112,28939
region,Yorkshire and The Humber,E12000003,2020-06-29,133,28827
region,Yorkshire and The Humber,E12000003,2020-06-28,97,28694
region,Yorkshire and The Humber,E12000003,2020-06-27,148,28597
region,Yorkshire and The Humber,E12000003,2020-06-26,152,28449
region,Yorkshire and The Humber,E12000003,2020-06-25,144,28297
region,Yorkshire and The Humber,E12000003,2020-06-24,157,28153
region,Yorkshire and The Humber,E12000003,2020-06-23,172,27996
region,Yorkshire and The Humber,E12000003,2020-06-22,156,27824
region,Yorkshire and The Humber,E12000003,2020-06-21,116,27668
region,Yorkshire and The Humber,E12000003,2020-06-20,162,27552
region,Yorkshire and The Humber,E12000003,2020-06-19,202,27390
region,Yorkshire and The Humber,E12000003,2020-06-18,257,27188
region,Yorkshire and The Humber,E12000003,2020-06-17,230,26931
region,Yorkshire and The Humber,E12000003,2020-06-16,216,26701
region,Yorkshire and The Humber,E12000003,2020-06-15,189,26485
region,Yorkshire and The Humber,E12000003,2020-06-14,159,26296
region,Yorkshire and The Humber,E12000003,2020-06-13,193,26137
region,Yorkshire and The Humber,E12000003,2020-06-12,248,25944
region,Yorkshire and The Humber,E12000003,2020-06-11,197,25696
region,Yorkshire and The Humber,E12000003,2020-06-10,226,25499
region,Yorkshire and The Humber,E12000003,2020-06-09,171,25273
region,Yorkshire and The Humber,E12000003,2020-06-08,188,25102
region,Yorkshire and The Humber,E12000003,2020-06-07,149,24914
region,Yorkshire and The Humber,E12000003,2020-06-06,121,24765
region,Yorkshire and The Humber,E12000003,2020-06-05,155,24644
region,Yorkshire and The Humber,E12000003,2020-06-04,178,24489
region,Yorkshire and The Humber,E12000003,2020-06-03,206,24311
