areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,East of England,E12000006,2020-08-31,0,26789
region,East of England,E12000006,2020-08-30,67,26789
region,East of England,E12000006,2020-08-29,72,26722
region,East of England,E12000006,2020-08-28,79,26650
region,East of England,E12000006,2020-08-27,110,26571
region,East of England,E12000006,2020-08-26,87,26461
region,East of England,E12000006,2020-08-25,99,26374
region,East of England,E12000006,2020-08-24,100,26275
region,East of England,E12000006,2020-08-23,52,26175
region,East of England,E12000006,2020-08-22,48,26123
region,East of England,E12000006,2020-08-21,63,26075
region,East of England,E12000006,2020-08-20,81,26012
region,East of England,E12000006,2020-08-19,63,25931
region,East of England,E12000006,2020-08-18,59,25868
region,East of England,E12000006,2020-08-17,62,25809
region,East of England,E12000006,2020-08-16,27,25747
region,East of England,E12000006,2020-08-15,30,25720
region,East of England,E12000006,2020-08-14,68,25690
region,East of England,E12000006,2020-08-13,61,25622
region,East of England,E12000006,2020-08-12,65,25561
region,East of England,E12000006,2020-08-11,44,25496
region,East of England,E12000006,2020-08-10,67,25452
region,East of England,E12000006,2020-08-09,23,25385
region,East of England,E12000006,2020-08-08,44,25362
region,East of England,E12000006,2020-08-07,70,25318
region,East of England,E12000006,2020-08-06,44,25248
region,East of England,E12000006,2020-08-05,53,25204
region,East of England,E12000006,2020-08-04,55,25151
region,East of England,E12000006,2020-08-03,68,25096
region,East of England,E12000006,2020-08-02,36,25028
region,East of England,E12000006,2020-08-01,22,24992
region,East of England,E12000006,2020-07-31,31,24970
region,East of England,E12000006,2020-07-30,52,24939
region,East of England,E12000006,2020-07-29,66,24887
region,East of England,E12000006,2020-07-28,56,24821
region,East of England,E12000006,2020-07-27,65,24765
region,East of England,E12000006,2020-07-26,28,24700
region,East of England,E12000006,2020-07-25,28,24672
region,East of England,E12000006,2020-07-24,79,24644
region,East of England,E12000006,2020-07-23,51,24565
region,East of England,E12000006,2020-07-22,54,24514
region,East of England,E12000006,2020-07-21,66,24460
