date,GER_date_index,GER_d_l_cum_cases
2020-02-24,1,0.2794515733152654
2020-02-25,2,0.3222032668200141
2020-02-26,3,0.3709439137399313
2020-02-27,4,0.28405981752098697
2020-02-28,5,0.3115018693974978
2020-02-29,6,0.18932054497886597
2020-03-01,7,0.20928739340316138
2020-03-02,8,0.20649191772176767
2020-03-03,9,0.16052689696653388
2020-03-04,10,0.20992092317889544
2020-03-05,11,0.17737158434962375
2020-03-06,12,0.21874698940137982
2020-03-07,13,0.21262906250960079
2020-03-08,14,0.22943068344554263
2020-03-09,15,0.28377472726286257
2020-03-10,16,0.2744871800054369
2020-03-11,17,0.2618491861519381
2020-03-12,18,0.2305092268272695
2020-03-13,19,0.22566018968891655
2020-03-14,20,0.18386645182829753
2020-03-15,21,0.16055503431259588
2020-03-16,22,0.18354494818705902
2020-03-17,23,0.1402296269729444
2020-03-18,24,0.12804694557706853
2020-03-19,25,0.10189050943650813
2020-03-20,26,0.1041333000472271
2020-03-21,27,0.0773012638056354
2020-03-22,28,0.05822306276037992
2020-03-23,29,0.07917216698214347
2020-03-24,30,0.05992294566671319
2020-03-25,31,0.06382912019011755
2020-03-26,32,0.0564545403212211
2020-03-27,33,0.05564570462326479
2020-03-28,34,0.046760227551439826
2020-03-29,35,0.03464204389204362
2020-03-30,36,0.04745417854568856
2020-03-31,37,0.04157960937370042
2020-04-01,38,0.04470151959232638
2020-04-02,39,0.04070702515711666
2020-04-03,40,0.04050357770996449
2020-04-04,41,0.02904727993689349
2020-04-05,42,0.022790715913439286
2020-04-06,43,0.029504545300516938
