date,ITA_date_index,ITA_d_l_cum_cases
2020-02-28,1,0.43151181704626485
2020-02-29,2,0.21034206912612952
2020-03-01,3,0.4469886108999104
2020-03-02,4,0.16213316084896778
2020-03-03,5,0.27508064557377665
2020-03-04,6,0.21331277853108244
2020-03-05,7,0.251070466337759
2020-03-06,8,0.18383857614243837
2020-03-07,9,0.23697450990303892
2020-03-08,10,0.16991071678698866
2020-03-09,11,0.2306210438190952
2020-03-10,12,-0.7635540617151921
2020-03-11,13,0.23987543842895143
2020-03-12,14,1.1076602199357382
2020-03-13,15,0.14989241927694685
2020-03-14,16,0.181038528671996
2020-03-15,17,0.1683494416071376
2020-03-16,18,0.10452952121497816
2020-03-17,19,0.10175806576989643
2020-03-18,20,0.11900060090633069
2020-03-19,21,0.1426048073279933
2020-03-20,22,0.19612142387865994
2020-03-21,23,0.1275165466681667
2020-03-22,24,0.09574480646425343
2020-03-23,25,0.0672474031180812
2020-03-24,26,0.0783330725674869
2020-03-25,27,0.0673651878282584
2020-03-26,28,0.08140227412278023
2020-03-27,29,0.07921928232784303
2020-03-28,30,0.05707433228078784
2020-03-29,31,0.06067667313905112
2020-03-30,32,0.04122678125697554
2020-03-31,33,0.041129318042141705
2020-04-01,34,0.04215679649094284
2020-04-02,35,0.04412012533956933
2020-04-03,36,0.043128468081317095
2020-04-04,37,0.03897147126273737
2020-04-05,38,0.04045034258297164
2020-04-06,39,0.026023363455001558
