adm0,policy,beta,se
FRA,National lockdown - original,0.152,0.28
FRA,Social distance - original,-0.577,0.427
FRA,School closure - original,0.062,0.287
FRA,combined policy - original,-0.363,0.146
FRA,National lockdown,-0.25,0.078
FRA,Social distance,-0.301,0.254
FRA,School closure,0.144,0.157
FRA,combined policy,-0.407,0.27
FRA,no_policy_rate,0.917,0.224
FRA,SWE comparator,0.072,0.41
FRA,KOR comparator,-0.013,0.3
