date,NL_date_index,NL_d_l_cum_cases
2020-03-05,1,0.755278961666952
2020-03-06,2,0.6083239882508682
2020-03-07,3,0.4658968472930818
2020-03-08,4,0.43918374410746264
2020-03-09,5,0.35188897362279103
2020-03-10,6,0.30753957093785633
2020-03-11,7,0.2979175763458075
2020-03-12,8,0.2724185169669333
2020-03-13,9,0.27017808083294614
2020-03-14,10,0.25144595098520206
2020-03-15,11,0.2320793422425691
2020-03-16,12,0.2294013029435895
2020-03-17,13,0.2207905748767498
2020-03-18,14,0.21398118355220497
2020-03-19,15,0.20786827630493931
2020-03-20,16,0.20573494322539254
2020-03-21,17,0.20336030150869178
2020-03-22,18,0.19314191842057404
2020-03-23,19,0.18099073626176754
2020-03-24,20,0.17716623059603442
2020-03-25,21,0.1716304542409528
2020-03-26,22,0.16786164284603977
2020-03-27,23,0.1645828022391509
2020-03-28,24,0.15887946289102217
2020-03-29,25,0.1514447901251046
2020-03-30,26,0.14147162926388113
2020-03-31,27,0.1322619078310865
2020-04-01,28,0.12567334439051336
