date,FRA_date_index,FRA_d_l_cum_cases
2020-03-05,1,0.97641812984675
2020-03-06,2,-0.11216225709564931
2020-03-07,3,0.9507064935566181
2020-03-08,4,-0.4536247371616957
2020-03-09,5,-2.0404985677312286
2020-03-10,6,2.585045221464675
2020-03-11,7,0.3959963366793122
2020-03-12,8,0.44530000531919356
2020-03-13,9,0.22287263425832382
2020-03-14,10,-0.25172739545588474
2020-03-15,11,0.5497424588971453
2020-03-16,12,0.18882578964070618
2020-03-17,13,-0.558728082595283
2020-03-18,14,1.2243005038316062
2020-03-19,15,0.09465639170177376
2020-03-20,16,-1.0396561215349909
2020-03-21,17,0.9126434544619411
2020-03-22,18,0.1897783626228371
2020-03-23,19,0.39845348579389395
2020-03-24,20,-1.5370472331825944
2020-03-25,21,1.5531493860469148
