adm0,policy,beta,se
NL,"School clos, work home, no private gathering",-0.077,0.037
NL,No public gathering,-0.037,0.06
NL,Home isolation,0,0
NL,Travel ban domestic,0.009,0.036
NL,Travel ban international,-0.081,0.018
NL,combined policy,-0.186,0.057
NL,no_policy_rate,0.326,0.046
NL,SWE comparator,0.306,0.259
NL,KOR comparator,0.149,0.136
