adm0,policy,beta,se
GER,School closure,-0.062,0.039
GER,Work from home,-0.053,0.008
GER,No public gathering,-0.056,0.01
GER,No private gathering,-0.079,0.016
GER,Home isolation,0.047,0.014
GER,Travel ban domestic,-0.12,0.015
GER,Travel ban international,0.049,0.025
GER,combined policy,-0.274,0.03
GER,no_policy_rate,0.32,0.016
GER,SWE comparator,-0.008,0.045
GER,KOR comparator,0.05,0.126
