adm0,policy,beta,se
"SWE","School closure",-.074,.106
"SWE","Work from home",.073,.088
"SWE","No public gathering",.037,.068
"SWE","No private gathering",-.427,.254
"SWE","Travel ban domestic",-.141,.099
"SWE","Travel ban international",-.022,.128
"SWE","combined policy",-.554,.245
"SWE","no_policy_rate",1.004,.239
