date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_change_irn_13mar2020,sample_avg,day_avg,travel_ban_local_opt_natl,school_closure_natl,p_irn_1,p_irn_2
"2020-03-09","IRN","Alborz",1,1,1,1,1,0,0,0,261,370,2712400,09mar2020,1,3,2020,9,"Alborz",0,0,,,0,.8196025,,1,0,.6666667,0
"2020-03-10","IRN","Alborz",1,1,1,1,1,0,0,0,293,402,2712400,10mar2020,2,3,2020,10,"Alborz",0,32,3.465736,,0,.8196025,,1,0,.6666667,0
"2020-03-11","IRN","Alborz",1,1,1,1,1,0,0,0,338,447,2712400,11mar2020,3,3,2020,11,"Alborz",0,45,3.806663,.3409266,0,,,1,0,.6666667,0
"2020-03-12","IRN","Alborz",1,1,1,1,1,0,0,0,412,521,2712400,12mar2020,4,3,2020,12,"Alborz",0,74,4.304065,.4974027,0,,,1,0,.6666667,0
"2020-03-13","IRN","Alborz",1,1,1,1,1,1,1,0,418,527,2712400,13mar2020,5,3,2020,13,"Alborz",0,6,1.791759,,1,.8196025,,1,0,.6666667,1
"2020-03-14","IRN","Alborz",1,1,1,1,1,1,1,0,552,661,2712400,14mar2020,6,3,2020,14,"Alborz",0,134,4.89784,3.106081,0,,,1,0,.6666667,1
"2020-03-15","IRN","Alborz",1,1,1,1,1,1,1,0,619,728,2712400,15mar2020,0,3,2020,15,"Alborz",0,67,4.204693,,0,.8196025,,1,0,.6666667,1
"2020-03-16","IRN","Alborz",1,1,1,1,1,1,1,0,668,777,2712400,16mar2020,1,3,2020,16,"Alborz",0,49,3.89182,,0,.8196025,,1,0,.6666667,1
"2020-03-17","IRN","Alborz",1,1,1,1,1,1,1,0,784,893,2712400,17mar2020,2,3,2020,17,"Alborz",0,116,4.75359,.8617699,0,,,1,0,.6666667,1
"2020-03-18","IRN","Alborz",1,1,1,1,1,1,1,0,860,969,2712400,18mar2020,3,3,2020,18,"Alborz",0,76,4.330733,,0,.8196025,,1,0,.6666667,1
"2020-03-19","IRN","Alborz",1,1,1,1,1,1,1,0,921,1030,2712400,19mar2020,4,3,2020,19,"Alborz",0,61,4.110874,,0,.8196025,,1,0,.6666667,1
"2020-03-20","IRN","Alborz",1,1,1,1,1,1,1,0,1016,1125,2712400,20mar2020,5,3,2020,20,"Alborz",0,95,4.553877,.4430032,0,,,1,0,.6666667,1
"2020-03-21","IRN","Alborz",1,1,1,1,1,1,1,0,1071,1180,2712400,21mar2020,6,3,2020,21,"Alborz",0,55,4.007333,,0,.8196025,,1,0,.6666667,1
"2020-03-22","IRN","Alborz",1,1,1,1,1,1,1,0,1131,1240,2712400,22mar2020,0,3,2020,22,"Alborz",0,60,4.094345,.0870113,0,,,1,0,.6666667,1
"2020-02-27","IRN","Ardebil",1,0,1,1,0,0,0,0,,5,1270420,27feb2020,4,2,2020,27,"Ardebil",0,,,,0,.8196025,,0,0,0,0
"2020-02-28","IRN","Ardebil",1,0,1,1,0,0,0,0,,6,1270420,28feb2020,5,2,2020,28,"Ardebil",0,,,,0,.8196025,,0,0,0,0
"2020-02-29","IRN","Ardebil",1,0,1,1,0,0,0,0,,9,1270420,29feb2020,6,2,2020,29,"Ardebil",0,,,,0,.8196025,,0,0,0,0
"2020-03-01","IRN","Ardebil",1,1,1,1,0,0,0,0,,9,1270420,01mar2020,0,3,2020,1,"Ardebil",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-02","IRN","Ardebil",1,1,1,1,0,0,0,0,,9,1270420,02mar2020,1,3,2020,2,"Ardebil",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-03","IRN","Ardebil",1,1,1,1,1,0,0,0,,9,1270420,03mar2020,2,3,2020,3,"Ardebil",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-04","IRN","Ardebil",1,1,1,1,1,0,0,0,,9,1270420,04mar2020,3,3,2020,4,"Ardebil",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-05","IRN","Ardebil",1,1,1,1,1,0,0,0,26,26,1270420,05mar2020,4,3,2020,5,"Ardebil",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-06","IRN","Ardebil",1,1,1,1,1,0,0,0,37,37,1270420,06mar2020,5,3,2020,6,"Ardebil",0,11,2.397895,,0,.8196025,,1,0,.6666667,0
"2020-03-07","IRN","Ardebil",1,1,1,1,1,0,0,0,38,38,1270420,07mar2020,6,3,2020,7,"Ardebil",0,1,0,,0,.8196025,,1,0,.6666667,0
"2020-03-08","IRN","Ardebil",1,1,1,1,1,0,0,0,47,47,1270420,08mar2020,0,3,2020,8,"Ardebil",0,9,2.197225,2.197225,0,,,1,0,.6666667,0
"2020-03-09","IRN","Ardebil",1,1,1,1,1,0,0,0,69,69,1270420,09mar2020,1,3,2020,9,"Ardebil",0,22,3.091043,.8938179,0,,,1,0,.6666667,0
"2020-03-10","IRN","Ardebil",1,1,1,1,1,0,0,0,88,88,1270420,10mar2020,2,3,2020,10,"Ardebil",0,19,2.944439,,0,.8196025,,1,0,.6666667,0
"2020-03-11","IRN","Ardebil",1,1,1,1,1,0,0,0,89,89,1270420,11mar2020,3,3,2020,11,"Ardebil",0,1,0,,0,.8196025,,1,0,.6666667,0
"2020-03-12","IRN","Ardebil",1,1,1,1,1,0,0,0,103,103,1270420,12mar2020,4,3,2020,12,"Ardebil",0,14,2.639057,2.639057,0,,,1,0,.6666667,0
"2020-03-13","IRN","Ardebil",1,1,1,1,1,1,1,0,118,118,1270420,13mar2020,5,3,2020,13,"Ardebil",0,15,2.70805,.0689929,1,,,1,0,.6666667,1
"2020-03-14","IRN","Ardebil",1,1,1,1,1,1,1,0,151,151,1270420,14mar2020,6,3,2020,14,"Ardebil",0,33,3.496508,.7884574,0,,,1,0,.6666667,1
"2020-03-15","IRN","Ardebil",1,1,1,1,1,1,1,0,151,151,1270420,15mar2020,0,3,2020,15,"Ardebil",0,0,,,0,.8196025,,1,0,.6666667,1
"2020-03-16","IRN","Ardebil",1,1,1,1,1,1,1,0,181,181,1270420,16mar2020,1,3,2020,16,"Ardebil",0,30,3.401197,,0,.8196025,,1,0,.6666667,1
"2020-03-17","IRN","Ardebil",1,1,1,1,1,1,1,0,200,200,1270420,17mar2020,2,3,2020,17,"Ardebil",0,19,2.944439,,0,.8196025,,1,0,.6666667,1
"2020-03-18","IRN","Ardebil",1,1,1,1,1,1,1,0,210,210,1270420,18mar2020,3,3,2020,18,"Ardebil",0,10,2.302585,,0,.8196025,,1,0,.6666667,1
"2020-03-19","IRN","Ardebil",1,1,1,1,1,1,1,0,226,226,1270420,19mar2020,4,3,2020,19,"Ardebil",0,16,2.772589,.4700036,0,,,1,0,.6666667,1
"2020-03-20","IRN","Ardebil",1,1,1,1,1,1,1,0,261,261,1270420,20mar2020,5,3,2020,20,"Ardebil",0,35,3.555348,.7827594,0,,,1,0,.6666667,1
"2020-03-21","IRN","Ardebil",1,1,1,1,1,1,1,0,267,267,1270420,21mar2020,6,3,2020,21,"Ardebil",0,6,1.791759,,0,.8196025,,1,0,.6666667,1
"2020-03-22","IRN","Ardebil",1,1,1,1,1,1,1,0,286,286,1270420,22mar2020,0,3,2020,22,"Ardebil",0,19,2.944439,1.152679,0,,,1,0,.6666667,1
"2020-02-27","IRN","Bushehr",0,0,1,1,0,0,0,0,,0,1163400,27feb2020,4,2,2020,27,"Bushehr",0,,,,0,.8196025,,0,0,0,0
"2020-02-28","IRN","Bushehr",0,0,1,1,0,0,0,0,,0,1163400,28feb2020,5,2,2020,28,"Bushehr",0,,,,0,.8196025,,0,0,0,0
"2020-02-29","IRN","Bushehr",0,0,1,1,0,0,0,0,,0,1163400,29feb2020,6,2,2020,29,"Bushehr",0,,,,0,.8196025,,0,0,0,0
"2020-03-01","IRN","Bushehr",0,1,1,1,0,0,0,0,,0,1163400,01mar2020,0,3,2020,1,"Bushehr",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-02","IRN","Bushehr",0,1,1,1,0,0,0,0,,0,1163400,02mar2020,1,3,2020,2,"Bushehr",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-03","IRN","Bushehr",0,1,1,1,1,0,0,0,,0,1163400,03mar2020,2,3,2020,3,"Bushehr",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-04","IRN","Bushehr",0,1,1,1,1,0,0,0,,0,1163400,04mar2020,3,3,2020,4,"Bushehr",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-05","IRN","Bushehr",1,1,1,1,1,0,0,0,,3,1163400,05mar2020,4,3,2020,5,"Bushehr",0,,,,0,.8196025,,1,1,1,0
"2020-03-06","IRN","Bushehr",1,1,1,1,1,0,0,0,,5,1163400,06mar2020,5,3,2020,6,"Bushehr",0,,,,0,.8196025,,1,1,1,0
"2020-03-07","IRN","Bushehr",1,1,1,1,1,0,0,0,,8,1163400,07mar2020,6,3,2020,7,"Bushehr",0,,,,0,.8196025,,1,1,1,0
"2020-03-08","IRN","Bushehr",1,1,1,1,1,0,0,0,10,10,1163400,08mar2020,0,3,2020,8,"Bushehr",0,,,,0,.8196025,,1,1,1,0
"2020-03-09","IRN","Bushehr",1,1,1,1,1,0,0,0,11,11,1163400,09mar2020,1,3,2020,9,"Bushehr",0,1,0,,0,.8196025,,1,1,1,0
"2020-03-10","IRN","Bushehr",1,1,1,1,1,0,0,0,18,18,1163400,10mar2020,2,3,2020,10,"Bushehr",0,7,1.94591,1.94591,0,,,1,1,1,0
"2020-03-11","IRN","Bushehr",1,1,1,1,1,0,0,0,18,18,1163400,11mar2020,3,3,2020,11,"Bushehr",0,0,,,0,.8196025,,1,1,1,0
"2020-03-12","IRN","Bushehr",1,1,1,1,1,0,0,0,21,21,1163400,12mar2020,4,3,2020,12,"Bushehr",0,3,1.098612,,0,.8196025,,1,1,1,0
"2020-03-13","IRN","Bushehr",1,1,1,1,1,1,1,0,21,21,1163400,13mar2020,5,3,2020,13,"Bushehr",0,0,,,1,.8196025,,1,1,1,1
"2020-03-14","IRN","Bushehr",1,1,1,1,1,1,1,0,28,28,1163400,14mar2020,6,3,2020,14,"Bushehr",0,7,1.94591,,0,.8196025,,1,1,1,1
"2020-03-15","IRN","Bushehr",1,1,1,1,1,1,1,0,34,34,1163400,15mar2020,0,3,2020,15,"Bushehr",0,6,1.791759,,0,.8196025,,1,1,1,1
"2020-03-16","IRN","Bushehr",1,1,1,1,1,1,1,0,38,38,1163400,16mar2020,1,3,2020,16,"Bushehr",0,4,1.386294,,0,.8196025,,1,1,1,1
"2020-03-17","IRN","Bushehr",1,1,1,1,1,1,1,0,42,42,1163400,17mar2020,2,3,2020,17,"Bushehr",0,4,1.386294,0,0,,,1,1,1,1
"2020-03-18","IRN","Bushehr",1,1,1,1,1,1,1,0,46,46,1163400,18mar2020,3,3,2020,18,"Bushehr",0,4,1.386294,0,0,,,1,1,1,1
