adm0,policy,beta,se
"GER","School closure",-.087,.06
"GER","Work from home",.039,.034
"GER","No public gathering",-.071,.062
"GER","No private gathering",-.046,.047
"GER","Home isolation",-.185,.069
"GER","Travel ban domestic",-.113,.031
"GER","Travel ban international",.027,.052
"GER","combined policy",-.434,.058
"GER","no_policy_rate",.635,.136
