bundesland,refdatum,case_count,adm1_name,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_ger_1,p_ger_2,p_ger_3,p_ger_4,p_ger_5,p_ger_6,p_ger_7
"Bayern","2020/03/20 00:00:00",1490,"Bayern","2020-03-20",11760,"3","0","2","1","0","1","2","4","2","0","2","1","1",1,0,1,1,1,1,1,20mar2020,5,3,2020,20,"Bayern",1,1490,7.306531,.1748328,.3060122,.194737,1,0,1,1,1,1,1
"Bayern","2020/03/21 00:00:00",1354,"Bayern","2020-03-21",13114,"3","0","2","4","0","2","2","4","2","0","2","1","1",1,0,1,1,1,1,1,21mar2020,6,3,2020,21,"Bayern",1,1354,7.210818,,.3060122,.5275533,1,0,1,1,1,1,1
"Bayern","2020/03/22 00:00:00",1006,"Bayern","2020-03-22",14120,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,22mar2020,0,3,2020,22,"Bayern",1,1006,6.913737,,.3060122,.0374683,1,1,1,1,1,1,1
"Bayern","2020/03/23 00:00:00",1400,"Bayern","2020-03-23",15520,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,23mar2020,1,3,2020,23,"Bayern",1,1400,7.244227,.3304901,.3060122,.4903029,1,1,1,1,1,1,1
"Bayern","2020/03/24 00:00:00",1194,"Bayern","2020-03-24",16714,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,24mar2020,2,3,2020,24,"Bayern",1,1194,7.085064,,.3060122,.2411618,1,1,1,1,1,1,1
"Bayern","2020/03/25 00:00:00",1484,"Bayern","2020-03-25",18198,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,25mar2020,3,3,2020,25,"Bayern",1,1484,7.302496,.217432,.3060122,.1660738,1,1,1,1,1,1,1
"Bayern","2020/03/26 00:00:00",1330,"Bayern","2020-03-26",19528,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,26mar2020,4,3,2020,26,"Bayern",1,1330,7.192934,,.3060122,.1665519,1,1,1,1,1,1,1
"Bayern","2020/03/27 00:00:00",1372,"Bayern","2020-03-27",20900,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,27mar2020,5,3,2020,27,"Bayern",1,1372,7.224025,.0310907,.3060122,.1251228,1,1,1,1,1,1,1
"Bayern","2020/03/28 00:00:00",1200,"Bayern","2020-03-28",22100,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,28mar2020,6,3,2020,28,"Bayern",1,1200,7.090077,,.3060122,.1421914,1,1,1,1,1,1,1
"Bayern","2020/03/29 00:00:00",926,"Bayern","2020-03-29",23026,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,29mar2020,0,3,2020,29,"Bayern",1,926,6.830874,,.3060122,.5275533,1,1,1,1,1,1,1
"Bayern","2020/03/30 00:00:00",1177,"Bayern","2020-03-30",24203,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,30mar2020,1,3,2020,30,"Bayern",1,1177,7.070724,.2398496,.3060122,.4429601,1,1,1,1,1,1,1
"Bayern","2020/03/31 00:00:00",1239,"Bayern","2020-03-31",25442,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,31mar2020,2,3,2020,31,"Bayern",1,1239,7.12206,.0513358,.3060122,.2332473,1,1,1,1,1,1,1
"Bayern","2020/04/01 00:00:00",1338,"Bayern","2020-04-01",26780,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,01apr2020,3,4,2020,1,"Bayern",1,1338,7.198931,.0768714,.3060122,.2217121,1,1,1,1,1,1,1
"Bayern","2020/04/02 00:00:00",1226,"Bayern","2020-04-02",28006,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,02apr2020,4,4,2020,2,"Bayern",1,1226,7.111512,,.3060122,.0832416,1,1,1,1,1,1,1
"Bayern","2020/04/03 00:00:00",1254,"Bayern","2020-04-03",29260,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,03apr2020,5,4,2020,3,"Bayern",1,1254,7.134094,.0225816,.3060122,.1080738,1,1,1,1,1,1,1
"Bayern","2020/04/04 00:00:00",1010,"Bayern","2020-04-04",30270,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,04apr2020,6,4,2020,4,"Bayern",1,1010,6.917706,,.3060122,.1996131,1,1,1,1,1,1,1
"Bayern","2020/04/05 00:00:00",696,"Bayern","2020-04-05",30966,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,05apr2020,0,4,2020,5,"Bayern",1,696,6.54535,,.3060122,.0551183,1,1,1,1,1,1,1
"Bayern","2020/04/06 00:00:00",917,"Bayern","2020-04-06",31883,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,06apr2020,1,4,2020,6,"Bayern",1,917,6.821107,.2757578,.3060122,.3082286,1,1,1,1,1,1,1
"Berlin","2020/02/23 00:00:00",1,"Berlin","2020-02-23",,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,23feb2020,0,2,2020,23,"Berlin",0,,,,,,0,0,0,0,0,0,0
