bundesland,refdatum,case_count,adm1_name,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_ger_1,p_ger_2,p_ger_3,p_ger_4,p_ger_5,p_ger_6,p_ger_7
"Baden-Württemberg","2020/02/23 00:00:00",7,"Baden-Württemberg","2020-02-23",28,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,23feb2020,0,2,2020,23,"Baden-Württemberg",0,,,,,,0,0,0,0,0,0,0
"Baden-Württemberg","2020/02/24 00:00:00",8,"Baden-Württemberg","2020-02-24",36,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,24feb2020,1,2,2020,24,"Baden-Württemberg",0,8,2.079442,,,,0,0,0,0,0,0,0
"Baden-Württemberg","2020/02/25 00:00:00",19,"Baden-Württemberg","2020-02-25",55,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,25feb2020,2,2,2020,25,"Baden-Württemberg",0,19,2.944439,.8649974,,,0,0,0,0,0,0,0
"Baden-Württemberg","2020/02/26 00:00:00",24,"Baden-Württemberg","2020-02-26",79,"2","0","0","0","0","0","0","0","0","0","2","1","2",1,0,0,0,0,0,0,26feb2020,3,2,2020,26,"Baden-Württemberg",0,24,3.178054,.2336149,,,1,0,0,0,0,0,0
"Baden-Württemberg","2020/02/27 00:00:00",14,"Baden-Württemberg","2020-02-27",93,"2","0","0","0","0","0","0","0","0","0","2","1","2",1,0,0,0,0,0,0,27feb2020,4,2,2020,27,"Baden-Württemberg",0,14,2.639057,,,,1,0,0,0,0,0,0
"Baden-Württemberg","2020/02/28 00:00:00",39,"Baden-Württemberg","2020-02-28",132,"2","0","0","0","0","0","0","1","0","0","2","1","2",1,0,0,0,0,0,1,28feb2020,5,2,2020,28,"Baden-Württemberg",0,39,3.663562,1.024504,,,1,0,0,0,0,0,1
"Baden-Württemberg","2020/02/29 00:00:00",39,"Baden-Württemberg","2020-02-29",171,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,29feb2020,6,2,2020,29,"Baden-Württemberg",0,39,3.663562,0,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/01 00:00:00",41,"Baden-Württemberg","2020-03-01",212,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,01mar2020,0,3,2020,1,"Baden-Württemberg",0,41,3.713572,.0500104,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/02 00:00:00",57,"Baden-Württemberg","2020-03-02",269,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,02mar2020,1,3,2020,2,"Baden-Württemberg",0,57,4.043051,.3294792,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/03 00:00:00",78,"Baden-Württemberg","2020-03-03",347,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,03mar2020,2,3,2020,3,"Baden-Württemberg",0,78,4.356709,.3136578,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/04 00:00:00",95,"Baden-Württemberg","2020-03-04",442,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,04mar2020,3,3,2020,4,"Baden-Württemberg",0,95,4.553877,.1971679,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/05 00:00:00",116,"Baden-Württemberg","2020-03-05",558,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,05mar2020,4,3,2020,5,"Baden-Württemberg",0,116,4.75359,.1997132,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/06 00:00:00",163,"Baden-Württemberg","2020-03-06",721,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,06mar2020,5,3,2020,6,"Baden-Württemberg",0,163,5.09375,.3401599,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/07 00:00:00",163,"Baden-Württemberg","2020-03-07",884,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,07mar2020,6,3,2020,7,"Baden-Württemberg",0,163,5.09375,0,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/08 00:00:00",256,"Baden-Württemberg","2020-03-08",1140,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,08mar2020,0,3,2020,8,"Baden-Württemberg",0,256,5.545177,.4514275,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/09 00:00:00",452,"Baden-Württemberg","2020-03-09",1592,"2","0","1","0","0","1","0","1","0","0","2","1","2",1,0,1,0,1,0,1,09mar2020,1,3,2020,9,"Baden-Württemberg",0,452,6.113682,.5685048,,,1,0,1,0,1,0,1
"Baden-Württemberg","2020/03/10 00:00:00",565,"Baden-Württemberg","2020-03-10",2157,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,10mar2020,2,3,2020,10,"Baden-Württemberg",0,565,6.336826,.2231436,,,1,0,1,1,1,0,1
"Baden-Württemberg","2020/03/11 00:00:00",706,"Baden-Württemberg","2020-03-11",2863,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,11mar2020,3,3,2020,11,"Baden-Württemberg",0,706,6.559615,.2227893,,,1,0,1,1,1,0,1
"Baden-Württemberg","2020/03/12 00:00:00",749,"Baden-Württemberg","2020-03-12",3612,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,12mar2020,4,3,2020,12,"Baden-Württemberg",0,749,6.618739,.059124,,,1,0,1,1,1,0,1
"Baden-Württemberg","2020/03/13 00:00:00",865,"Baden-Württemberg","2020-03-13",4477,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,13mar2020,5,3,2020,13,"Baden-Württemberg",0,865,6.76273,.1439905,,,1,0,1,1,1,0,1
"Baden-Württemberg","2020/03/14 00:00:00",823,"Baden-Württemberg","2020-03-14",5300,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,14mar2020,6,3,2020,14,"Baden-Württemberg",0,823,6.712956,,,,1,0,1,1,1,0,1
"Baden-Württemberg","2020/03/15 00:00:00",864,"Baden-Württemberg","2020-03-15",6164,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,15mar2020,0,3,2020,15,"Baden-Württemberg",0,864,6.761573,.0486164,,,1,0,1,1,1,0,1
