adm0,policy,beta,se
"UK","School closure",.092,.095
"UK","Work home, no public gathering, home iso",-.385,.062
"UK","No private gathering",-.047,.047
"UK","Transit suspension",-.185,.11
"UK","Travel ban domestic",-.01,.082
"UK","combined policy",-.536,.053
"UK","no_policy_rate",.731,.133
