adm0,policy,beta,se
"IRN","Trvl ban opt, work home, school clos (natl) - orig",1.542,.466
"IRN","Home isolation - original",-.424,.08
"IRN","combined policy - original",1.119,.461
"IRN","Trvl ban opt, work home, school clos (natl)",.707,.204
"IRN","Home isolation",-.392,.085
"IRN","combined policy",.316,.201
"IRN","no_policy_rate",.344,.344
