Datum,Provincienaam,Aantal,date,adm1_name,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl
2020-03-05,Flevoland,1,2020-03-05,Flevoland,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-06,Flevoland,2,2020-03-06,Flevoland,3,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-07,Flevoland,2,2020-03-07,Flevoland,5,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-08,Flevoland,2,2020-03-08,Flevoland,7,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-09,Flevoland,2,2020-03-09,Flevoland,9,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,1,0,0
2020-03-10,Flevoland,2,2020-03-10,Flevoland,11,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
2020-03-11,Flevoland,3,2020-03-11,Flevoland,14,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
2020-03-12,Flevoland,3,2020-03-12,Flevoland,17,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-13,Flevoland,7,2020-03-13,Flevoland,24,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-14,Flevoland,14,2020-03-14,Flevoland,38,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-15,Flevoland,19,2020-03-15,Flevoland,57,1,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-16,Flevoland,22,2020-03-16,Flevoland,79,3,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-17,Flevoland,24,2020-03-17,Flevoland,103,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-18,Flevoland,30,2020-03-18,Flevoland,133,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-19,Flevoland,36,2020-03-19,Flevoland,169,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-20,Flevoland,41,2020-03-20,Flevoland,210,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-21,Flevoland,50,2020-03-21,Flevoland,260,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-22,Flevoland,57,2020-03-22,Flevoland,317,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-23,Flevoland,64,2020-03-23,Flevoland,381,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-24,Flevoland,71,2020-03-24,Flevoland,452,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-25,Flevoland,82,2020-03-25,Flevoland,534,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-26,Flevoland,92,2020-03-26,Flevoland,626,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-27,Flevoland,105,2020-03-27,Flevoland,731,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-28,Flevoland,117,2020-03-28,Flevoland,848,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-29,Flevoland,134,2020-03-29,Flevoland,982,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-30,Flevoland,141,2020-03-30,Flevoland,1123,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-31,Flevoland,166,2020-03-31,Flevoland,1289,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-04-01,Flevoland,189,2020-04-01,Flevoland,1478,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-10,Friesland,2,2020-03-10,Friesland,2,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
